DATE,MSPUS
1/1/63,17800
4/1/63,18000
7/1/63,17900
10/1/63,18500
1/1/64,18500
4/1/64,18900
7/1/64,18900
10/1/64,19400
1/1/65,20200
4/1/65,19800
7/1/65,20200
10/1/65,20300
1/1/66,21000
4/1/66,22100
7/1/66,21500
10/1/66,21400
1/1/67,22300
4/1/67,23300
7/1/67,22500
10/1/67,22900
1/1/68,23900
4/1/68,24900
7/1/68,24800
10/1/68,25600
1/1/69,25700
4/1/69,25900
7/1/69,25900
10/1/69,24900
1/1/70,23900
4/1/70,24400
7/1/70,23000
10/1/70,22600
1/1/71,24300
4/1/71,25800
7/1/71,25300
10/1/71,25500
1/1/72,26200
4/1/72,26800
7/1/72,27900
10/1/72,29200
1/1/73,30200
4/1/73,32700
7/1/73,33500
10/1/73,34000
1/1/74,35200
4/1/74,35600
7/1/74,36200
10/1/74,37200
1/1/75,38100
4/1/75,39000
7/1/75,38800
10/1/75,41200
1/1/76,42800
4/1/76,44200
7/1/76,44400
10/1/76,45500
1/1/77,46300
4/1/77,48900
7/1/77,48800
10/1/77,51600
1/1/78,53000
4/1/78,55300
7/1/78,56100
10/1/78,59000
1/1/79,60600
4/1/79,63100
7/1/79,64700
10/1/79,62600
1/1/80,63700
4/1/80,64000
7/1/80,64900
10/1/80,66400
1/1/81,66800
4/1/81,69400
7/1/81,69200
10/1/81,70400
1/1/82,66400
4/1/82,69600
7/1/82,69300
10/1/82,71600
1/1/83,73300
4/1/83,74900
7/1/83,77400
10/1/83,75900
1/1/84,78200
4/1/84,80700
7/1/84,81000
10/1/84,79900
1/1/85,82800
4/1/85,84300
7/1/85,83200
10/1/85,86800
1/1/86,88000
4/1/86,92100
7/1/86,93000
10/1/86,95000
1/1/87,97900
4/1/87,103400
7/1/87,106000
10/1/87,111500
1/1/88,110000
4/1/88,110000
7/1/88,115000
10/1/88,113900
1/1/89,118000
4/1/89,118900
7/1/89,120000
10/1/89,124800
1/1/90,123900
4/1/90,126800
7/1/90,117000
10/1/90,121500
1/1/91,120000
4/1/91,119900
7/1/91,120000
10/1/91,120000
1/1/92,119500
4/1/92,120000
7/1/92,120000
10/1/92,126000
1/1/93,125000
4/1/93,127000
7/1/93,127000
10/1/93,127000
1/1/94,130000
4/1/94,130000
7/1/94,129700
10/1/94,132000
1/1/95,130000
4/1/95,133900
7/1/95,132000
10/1/95,138000
1/1/96,137000
4/1/96,139900
7/1/96,140000
10/1/96,144100
1/1/97,145000
4/1/97,145800
7/1/97,145000
10/1/97,144200
1/1/98,152200
4/1/98,149500
7/1/98,153000
10/1/98,153000
1/1/99,157400
4/1/99,158700
7/1/99,159100
10/1/99,165300
1/1/00,165300
4/1/00,163200
7/1/00,168800
10/1/00,172900
1/1/01,169800
4/1/01,179000
7/1/01,172500
10/1/01,171100
1/1/02,188700
4/1/02,187200
7/1/02,178100
10/1/02,190100
1/1/03,186000
4/1/03,191800
7/1/03,191900
10/1/03,198800
1/1/04,212700
4/1/04,217600
7/1/04,213500
10/1/04,228800
1/1/05,232500
4/1/05,233700
7/1/05,236400
10/1/05,243600
1/1/06,247700
4/1/06,246300
7/1/06,235600
10/1/06,245400
1/1/07,257400
4/1/07,242200
7/1/07,241800
10/1/07,238400
1/1/08,233900
4/1/08,235300
7/1/08,226500
10/1/08,222500
1/1/09,208400
4/1/09,220900
7/1/09,214300
10/1/09,219000
1/1/10,222900
4/1/10,219500
7/1/10,224100
10/1/10,224300
1/1/11,226900
4/1/11,228100
7/1/11,223500
10/1/11,221100
1/1/12,238400
4/1/12,238700
7/1/12,248800
10/1/12,251700
1/1/13,258400
4/1/13,268100
7/1/13,264800
10/1/13,273600
1/1/14,275200
4/1/14,288000
7/1/14,281000
10/1/14,298900
1/1/15,289200
4/1/15,289100
7/1/15,295800
10/1/15,302500
1/1/16,299800
4/1/16,306000
7/1/16,303800
10/1/16,310900
1/1/17,313100
4/1/17,318200
7/1/17,320500
10/1/17,337900
1/1/18,331800
4/1/18,315600
7/1/18,330900
10/1/18,322800
1/1/19,313000
4/1/19,322500
7/1/19,318400
10/1/19,327100
1/1/20,329000
4/1/20,322600
7/1/20,337500
10/1/20,358700
1/1/21,369800
4/1/21,382600
7/1/21,404700